time,actual_demand,interconnection,solar,wind,co2emission,renewable_contribution,renewable_percentage,interconnection_status
2026-04-10 00:00:00,3850,1049,2,883,662,885,22.987012987012985,Import
2026-04-10 00:15:00,3907,1050,2,843,683,845,21.627847453288968,Import
2026-04-10 00:30:00,3863,1048,2,757,711,759,19.647942013978774,Import
2026-04-10 00:45:00,3833,1050,2,706,713,708,18.471171406209237,Import
2026-04-10 01:00:00,3801,1049,2,654,698,656,17.25861615364378,Import
2026-04-10 01:15:00,3829,1048,2,629,708,631,16.479498563593626,Import
2026-04-10 01:30:00,3770,1049,2,566,703,568,15.066312997347481,Import
2026-04-10 01:45:00,3731,1050,2,503,712,505,13.535245242562317,Import
2026-04-10 02:00:00,3706,1050,2,466,723,468,12.628170534268754,Import
2026-04-10 02:15:00,3789,1049,2,406,762,408,10.768012668250197,Import
2026-04-10 02:30:00,3761,1049,2,422,750,424,11.27359744748737,Import
2026-04-10 02:45:00,3721,1050,2,430,727,432,11.609782316581564,Import
2026-04-10 03:00:00,3680,1051,2,412,722,414,11.25,Import
2026-04-10 03:15:00,3671,1049,2,418,746,420,11.441024244075184,Import
2026-04-10 03:30:00,3656,1050,2,397,745,399,10.913566739606127,Import
2026-04-10 03:45:00,3640,1050,2,381,739,383,10.521978021978022,Import
2026-04-10 04:00:00,3610,1049,2,393,702,395,10.941828254847644,Import
2026-04-10 04:15:00,3594,1049,2,431,672,433,12.047857540345019,Import
2026-04-10 04:30:00,3570,1049,2,506,651,508,14.2296918767507,Import
2026-04-10 04:45:00,3569,1050,2,565,661,567,15.88680302605772,Import
2026-04-10 05:00:00,3573,1050,2,582,661,584,16.344808284354883,Import
2026-04-10 05:15:00,3619,1050,2,657,656,659,18.20945012434374,Import
2026-04-10 05:30:00,3634,1050,2,748,623,750,20.638414969730327,Import
2026-04-10 05:45:00,3668,1050,2,839,609,841,22.92802617230098,Import
2026-04-10 06:00:00,3714,1049,2,908,614,910,24.50188476036618,Import
2026-04-10 06:15:00,3845,1036,2,1021,641,1023,26.605981794538362,Import
2026-04-10 06:30:00,3888,962,2,1090,662,1092,28.08641975308642,Import
2026-04-10 06:45:00,3944,886,3,1183,668,1186,30.070993914807303,Import
2026-04-10 07:00:00,4040,935,8,1192,683,1200,29.7029702970297,Import
2026-04-10 07:15:00,4204,979,23,1259,706,1282,30.49476688867745,Import
2026-04-10 07:30:00,4290,960,38,1389,701,1427,33.26340326340326,Import
2026-04-10 07:45:00,4381,885,58,1573,697,1631,37.22894316366126,Import
2026-04-10 08:00:00,4458,886,70,1675,690,1745,39.14311350381337,Import
2026-04-10 08:15:00,4569,832,87,1852,690,1939,42.43817027796017,Import
2026-04-10 08:30:00,4634,757,136,1994,671,2130,45.96460940871817,Import
2026-04-10 08:45:00,4692,680,156,2120,669,2276,48.508098891730604,Import
2026-04-10 09:00:00,4697,600,186,2271,674,2457,52.309985096870335,Import
2026-04-10 09:15:00,4735,540,201,2353,676,2554,53.93875395987329,Import
2026-04-10 09:30:00,4722,388,206,2442,715,2648,56.077933079203724,Import
2026-04-10 09:45:00,4782,236,231,2582,732,2813,58.824759514847344,Import
2026-04-10 10:00:00,4737,132,258,2601,748,2859,60.35465484483851,Import
2026-04-10 10:15:00,4722,-18,314,2624,758,2938,62.21939855993224,Export
2026-04-10 10:30:00,4696,-47,330,2634,725,2964,63.1175468483816,Export
2026-04-10 10:45:00,4696,-71,339,2700,701,3039,64.71465076660988,Export
2026-04-10 11:00:00,4628,-99,350,2808,620,3158,68.23681936041487,Export
2026-04-10 11:15:00,4654,-173,441,2966,537,3407,73.20584443489471,Export
2026-04-10 11:30:00,4699,-199,501,3022,514,3523,74.97339859544584,Export
2026-04-10 11:45:00,4708,-199,443,3022,522,3465,73.5981308411215,Export
2026-04-10 12:00:00,4715,-199,379,3091,530,3470,73.5949098621421,Export
2026-04-10 12:15:00,4748,-199,362,3151,524,3513,73.98904802021904,Export
2026-04-10 12:30:00,4766,-199,331,3204,526,3535,74.17121275702895,Export
2026-04-10 12:45:00,4737,-199,333,3186,521,3519,74.28752374920836,Export
2026-04-10 13:00:00,4746,-199,332,3213,525,3545,74.69447956173619,Export
2026-04-10 13:15:00,4763,-199,319,3288,529,3607,75.7295821960949,Export
2026-04-10 13:30:00,4756,-199,289,3284,562,3573,75.12615643397812,Export
2026-04-10 13:45:00,4746,-199,267,3295,577,3562,75.05267593763169,Export
2026-04-10 14:00:00,4701,-199,272,3251,571,3523,74.94150180812593,Export
2026-04-10 14:15:00,4714,-199,273,3232,567,3505,74.35299109036912,Export
2026-04-10 14:30:00,4669,-199,313,3281,527,3594,76.97579781537802,Export
2026-04-10 14:45:00,4667,-199,278,3303,534,3581,76.73023355474609,Export
2026-04-10 15:00:00,4637,-199,294,3279,508,3573,77.0541298253181,Export
2026-04-10 15:15:00,4635,-199,320,3275,494,3595,77.56202804746493,Export
2026-04-10 15:30:00,4641,-199,273,3298,497,3571,76.94462400344754,Export
2026-04-10 15:45:00,4653,-199,213,3315,511,3528,75.8220502901354,Export
2026-04-10 16:00:00,4678,-199,217,3349,511,3566,76.22915775972638,Export
2026-04-10 16:15:00,4739,-199,213,3359,511,3572,75.37455159316312,Export
2026-04-10 16:30:00,4763,-199,161,3415,519,3576,75.07873189166492,Export
2026-04-10 16:45:00,4798,-199,160,3372,554,3532,73.6140058357649,Export
2026-04-10 17:00:00,4832,-199,94,3320,601,3414,70.65397350993378,Export
2026-04-10 17:15:00,4887,-199,83,3297,604,3380,69.16308573767137,Export
2026-04-10 17:30:00,4927,-199,72,3292,603,3364,68.27684189161761,Export
2026-04-10 17:45:00,4898,-175,67,3133,641,3200,65.33278889342589,Export
2026-04-10 18:00:00,4889,-100,70,3173,606,3243,66.3325833503784,Export
2026-04-10 18:15:00,4895,-99,64,3227,564,3291,67.23186925434116,Export
2026-04-10 18:30:00,4901,-99,72,3207,576,3279,66.90471332381148,Export
2026-04-10 18:45:00,4827,-99,63,3097,591,3160,65.46509218976591,Export
2026-04-10 19:00:00,4785,-99,43,2733,700,2776,58.01462904911181,Export
2026-04-10 19:15:00,4786,-99,29,2571,759,2600,54.32511491851233,Export
2026-04-10 19:30:00,4794,-92,24,2332,764,2356,49.144764288694205,Export
2026-04-10 19:45:00,4739,-75,18,2206,804,2224,46.92973201097278,Export
2026-04-10 20:00:00,4729,0,9,2176,812,2185,46.20427151617678,Neutral
2026-04-10 20:15:00,4705,75,2,2051,818,2053,43.63443145589798,Import
2026-04-10 20:30:00,4721,150,2,1974,818,1976,41.85553908070324,Import
2026-04-10 20:45:00,4724,225,1,1957,815,1958,41.44792548687553,Import
2026-04-10 21:00:00,4692,300,2,1847,815,1849,39.407502131287295,Import
2026-04-10 21:15:00,4618,289,2,1766,825,1768,38.284971849285405,Import
2026-04-10 21:30:00,4557,364,2,1712,816,1714,37.61246434057494,Import
2026-04-10 21:45:00,4490,354,2,1705,836,1707,38.01781737193764,Import
2026-04-10 22:00:00,4431,278,2,1698,850,1700,38.3660573234033,Import
2026-04-10 22:15:00,4371,203,2,1799,863,1801,41.203385952871194,Import
2026-04-10 22:30:00,4279,219,2,1732,871,1734,40.52348679598037,Import
2026-04-10 22:45:00,4157,293,2,1777,787,1779,42.79528506134231,Import
2026-04-10 23:00:00,4131,344,2,1998,686,2000,48.41442749939482,Import
2026-04-10 23:15:00,4130,427,2,2168,595,2170,52.54237288135594,Import
2026-04-10 23:30:00,4061,491,2,2128,515,2130,52.45013543462201,Import
2026-04-10 23:45:00,3983,520,2,2167,458,2169,54.45643986944514,Import
